Site,Depth,pH,TP,Alpy,Fepy,Alox,Feox,Siox,Pox,Piox,Porg-ox,P-AL,POls,DPS,C,N,C:Porg,N:Porg,BD,Al:Si
Tonn,50-60,4.6,8.9,65.2,13.4,155.4,45.5,41.9,7.2,5.6,1.6,0.1,0.1,8,4.9,0.2,383,15,1261.6,2.2
Tonn,60-70,4.7,10.4,34.2,4.3,69.9,8.6,18.1,5.4,4.4,1,0.8,0.2,14,1.9,0.1,n.c,n.c,1370.3,1.9
Tonn,70-80,4.7,8.3,27.6,2.5,45.4,4.5,11.5,3.5,2.9,0.6,0.7,0.1,19,1.5,<LOD,n.c,n.c,1392.3,1.5
Tonn,80-90,4.7,6.9,24.4,2.8,42.8,4.8,10.6,3.3,2.5,0.8,0.7,0.1,10,1.4,<LOD,n.c,n.c,1396.1,1.7
Tonn,90-100,4.7,7.7,20.6,2.4,32.1,3.9,7.7,2.8,2.1,0.7,0.7,-,13,-,<LOD,n.c,n.c,,1.5
Asa,0,3.7,21.6,19.2,7.2,26.2,13.8,0.6,5.5,2.1,3.3,4.8,2.2,15,448,14.7,1951,55,104.8,11
Asa,0-10,4.2,8.3,96.5,121.2,98.7,131.7,2.7,5.6,2,3.5,0.8,0.2,5,40,1.6,1679,59,847.5,0.9
Asa,10-20,4.6,14.2,198.1,77.4,318.9,125.4,53.8,11.2,6.7,4.6,0.4,0.2,5,30.3,1.4,774,31,917.3,2.2
Asa,20-30,4.7,17.5,141.6,35.5,280.7,82.9,57.4,13.2,10,3.2,0.5,0.2,8,16.6,0.8,508,21,1054.1,2.4
Asa,30-40,4.8,18,122.9,27.8,270.3,64.3,55,14.1,10.6,3.4,0.7,0.3,8,13.8,0.7,705,30,1091.9,2.7
Asa,40-50,4.7,18,105,33.9,172.4,57.2,32.1,11.6,9,2.6,0.7,0.3,12,12.1,0.5,n.c,n.c,1116.3,2.1
Asa,50-60,4.7,16.8,92.9,31.5,139.9,53.8,23.4,10.6,8.1,2.5,0.7,0.2,13,10,0.4,n.c,n.c,1151.4,2
Asa,60-70,4.8,12.8,74.9,17.8,104.5,25,20.1,7.7,5.6,2.2,0.8,0.1,11,7.9,0.3,n.c,n.c,1192.4,1.5
Asa,70-80,4.8,14.9,56,10.5,75.4,14.8,15.1,6.8,5,1.8,1.1,0.1,16,5.5,0.2,n.c,n.c,1246.2,1.3
Asa,80-90,5,16,43.4,7.7,61.4,11.6,13.2,6.3,4.9,1.4,1.2,0.1,16,3.4,0.1,n.c,n.c,1310.1,1.4
Asa,90-100,4.8,12.5,51.6,12.6,72.2,18.7,13.7,6.6,5,1.6,0.9,0.1,12,4.7,0.2,n.c,n.c,1268.9,1.5
